product_id,category,subcategory,week,price,base_price,price_change_pct,promotion,competitor_price_index,seasonality_index,quantity_sold,unit_cost
P0001,fmcg,bevande,0,13.07,12.06,0.0834,0,1.021,1.0,2111.0,8.7
P0001,fmcg,bevande,1,12.4,12.06,0.0286,0,1.0313,1.0096,2573.5,8.7
P0001,fmcg,bevande,2,11.88,12.06,-0.0152,0,0.976,1.0191,2620.6,8.7
P0001,fmcg,bevande,3,11.04,12.06,-0.0847,1,0.9788,1.0284,3476.2,8.7
P0001,fmcg,bevande,4,12.46,12.06,0.0333,0,0.8874,1.0372,2046.3,8.7
P0001,fmcg,bevande,5,10.55,12.06,-0.1254,1,0.9518,1.0454,3260.2,8.7
P0001,fmcg,bevande,6,12.53,12.06,0.039,0,0.9877,1.053,2011.2,8.7
P0001,fmcg,bevande,7,12.5,12.06,0.0367,0,0.9512,1.0599,2060.1,8.7
P0001,fmcg,bevande,8,11.97,12.06,-0.0078,0,1.0324,1.0658,2460.9,8.7
P0001,fmcg,bevande,9,11.29,12.06,-0.0637,1,0.9994,1.0708,3287.4,8.7
P0001,fmcg,bevande,10,11.4,12.06,-0.0547,0,1.0343,1.0748,2559.3,8.7
P0001,fmcg,bevande,11,12.02,12.06,-0.0034,0,1.0564,1.0777,1883.3,8.7
P0001,fmcg,bevande,12,11.67,12.06,-0.0323,0,1.0731,1.0794,2679.3,8.7
P0001,fmcg,bevande,13,11.58,12.06,-0.0399,0,0.944,1.08,2766.4,8.7
P0001,fmcg,bevande,14,12.29,12.06,0.0192,0,0.9906,1.0794,2481.2,8.7
P0001,fmcg,bevande,15,10.48,12.06,-0.1312,1,1.0404,1.0777,3118.4,8.7
P0001,fmcg,bevande,16,12.48,12.06,0.0351,0,1.0594,1.0748,2066.6,8.7
P0001,fmcg,bevande,17,12.1,12.06,0.0035,0,1.0465,1.0708,3022.2,8.7
P0001,fmcg,bevande,18,11.9,12.06,-0.013,0,0.9553,1.0658,2487.6,8.7
P0001,fmcg,bevande,19,11.63,12.06,-0.0355,0,1.1024,1.0599,3166.2,8.7
P0001,fmcg,bevande,20,11.67,12.06,-0.0322,0,1.0428,1.053,2728.0,8.7
P0001,fmcg,bevande,21,12.59,12.06,0.0437,0,1.0318,1.0454,2452.7,8.7
P0001,fmcg,bevande,22,10.29,12.06,-0.147,1,0.9108,1.0372,3783.0,8.7
P0001,fmcg,bevande,23,11.52,12.06,-0.0448,0,1.0841,1.0284,3095.0,8.7
P0001,fmcg,bevande,24,12.17,12.06,0.0089,0,1.0675,1.0191,2303.1,8.7
P0001,fmcg,bevande,25,11.09,12.06,-0.0807,1,1.0198,1.0096,3289.3,8.7
P0001,fmcg,bevande,26,12.04,12.06,-0.0018,0,0.996,1.0,2844.2,8.7
P0001,fmcg,bevande,27,12.06,12.06,0.0004,0,1.0124,0.9904,2275.0,8.7
P0001,fmcg,bevande,28,11.6,12.06,-0.0379,0,0.9924,0.9809,2170.3,8.7
P0001,fmcg,bevande,29,12.28,12.06,0.0179,0,1.0196,0.9716,1746.6,8.7
P0001,fmcg,bevande,30,10.97,12.06,-0.0904,1,1.053,0.9628,3577.7,8.7
P0001,fmcg,bevande,31,11.7,12.06,-0.0296,0,0.9458,0.9546,2377.2,8.7
P0001,fmcg,bevande,32,12.6,12.06,0.0451,0,1.055,0.947,1997.2,8.7
P0001,fmcg,bevande,33,11.93,12.06,-0.0112,0,1.0109,0.9401,2132.8,8.7
P0001,fmcg,bevande,34,12.17,12.06,0.0089,0,0.9748,0.9342,1955.2,8.7
P0001,fmcg,bevande,35,11.89,12.06,-0.0141,0,1.0122,0.9292,2241.4,8.7
P0001,fmcg,bevande,36,11.86,12.06,-0.0168,0,1.0719,0.9252,1886.5,8.7
P0001,fmcg,bevande,37,11.27,12.06,-0.0652,0,1.0015,0.9223,2337.1,8.7
P0001,fmcg,bevande,38,12.57,12.06,0.0425,0,0.8664,0.9206,2076.1,8.7
P0001,fmcg,bevande,39,11.58,12.06,-0.0395,0,0.981,0.92,2039.0,8.7
P0001,fmcg,bevande,40,11.92,12.06,-0.0114,0,1.0714,0.9206,2668.6,8.7
P0001,fmcg,bevande,41,11.43,12.06,-0.0521,1,1.0018,0.9223,3519.6,8.7
P0001,fmcg,bevande,42,12.12,12.06,0.0046,0,1.0183,0.9252,3076.9,8.7
P0001,fmcg,bevande,43,11.76,12.06,-0.0248,0,1.0484,0.9292,2110.5,8.7
P0001,fmcg,bevande,44,12.44,12.06,0.0318,0,1.0016,0.9342,2109.0,8.7
P0001,fmcg,bevande,45,10.45,12.06,-0.1337,1,1.0212,0.9401,2630.1,8.7
P0001,fmcg,bevande,46,11.65,12.06,-0.0344,0,0.9279,0.947,2263.4,8.7
P0001,fmcg,bevande,47,11.77,12.06,-0.0243,0,1.0416,0.9546,1926.1,8.7
P0001,fmcg,bevande,48,11.81,12.06,-0.0205,0,0.9977,0.9628,2346.5,8.7
P0001,fmcg,bevande,49,12.37,12.06,0.0253,0,1.0032,0.9716,1706.2,8.7
P0001,fmcg,bevande,50,10.56,12.06,-0.1248,1,0.989,0.9809,3368.1,8.7
P0001,fmcg,bevande,51,12.16,12.06,0.0079,0,1.0474,0.9904,1958.8,8.7
P0001,fmcg,bevande,52,11.6,12.06,-0.0383,0,1.0144,1.0,2811.5,8.7
P0001,fmcg,bevande,53,11.0,12.06,-0.0876,0,0.9148,1.0096,2390.2,8.7
P0001,fmcg,bevande,54,11.89,12.06,-0.0143,0,1.0019,1.0191,2292.6,8.7
P0001,fmcg,bevande,55,11.77,12.06,-0.0237,0,0.9569,1.0284,2579.5,8.7
P0001,fmcg,bevande,56,12.22,12.06,0.0136,0,1.0051,1.0372,2283.7,8.7
P0001,fmcg,bevande,57,11.8,12.06,-0.0218,0,1.103,1.0454,2403.0,8.7
P0001,fmcg,bevande,58,10.57,12.06,-0.1235,1,0.9462,1.053,3338.6,8.7
P0001,fmcg,bevande,59,12.29,12.06,0.0194,0,0.9689,1.0599,2651.8,8.7
P0001,fmcg,bevande,60,12.67,12.06,0.0503,0,1.0265,1.0658,2670.2,8.7
P0001,fmcg,bevande,61,11.93,12.06,-0.0111,0,0.9566,1.0708,2524.7,8.7
P0001,fmcg,bevande,62,11.99,12.06,-0.0058,0,1.0941,1.0748,2428.5,8.7
P0001,fmcg,bevande,63,11.96,12.06,-0.0081,0,1.0038,1.0777,2495.5,8.7
P0001,fmcg,bevande,64,12.55,12.06,0.0408,0,1.0824,1.0794,2415.0,8.7
P0001,fmcg,bevande,65,11.57,12.06,-0.0403,0,0.9956,1.08,2936.5,8.7
P0001,fmcg,bevande,66,11.36,12.06,-0.0583,1,1.0443,1.0794,3574.3,8.7
P0001,fmcg,bevande,67,12.18,12.06,0.0101,0,0.9822,1.0777,2527.5,8.7
P0001,fmcg,bevande,68,12.22,12.06,0.0134,0,0.8176,1.0748,1959.5,8.7
P0001,fmcg,bevande,69,12.26,12.06,0.0167,0,0.9419,1.0708,2193.6,8.7
P0001,fmcg,bevande,70,11.86,12.06,-0.0169,0,1.1121,1.0658,2498.3,8.7
P0001,fmcg,bevande,71,12.74,12.06,0.0566,0,1.0066,1.0599,1981.5,8.7
P0001,fmcg,bevande,72,12.04,12.06,-0.0012,0,0.9318,1.053,2339.1,8.7
P0001,fmcg,bevande,73,10.8,12.06,-0.1042,1,1.0017,1.0454,3395.4,8.7
P0001,fmcg,bevande,74,12.15,12.06,0.0078,0,1.0308,1.0372,2079.3,8.7
P0001,fmcg,bevande,75,12.53,12.06,0.0387,0,0.9794,1.0284,1875.9,8.7
P0001,fmcg,bevande,76,12.26,12.06,0.0162,0,0.9235,1.0191,2339.1,8.7
P0001,fmcg,bevande,77,12.22,12.06,0.0131,0,1.0316,1.0096,1913.4,8.7
P0001,fmcg,bevande,78,11.93,12.06,-0.0106,0,0.9759,1.0,2578.1,8.7
P0001,fmcg,bevande,79,12.82,12.06,0.0628,0,1.0657,0.9904,2043.1,8.7
P0001,fmcg,bevande,80,12.38,12.06,0.0268,0,1.0061,0.9809,2191.0,8.7
P0001,fmcg,bevande,81,12.03,12.06,-0.0021,0,0.9635,0.9716,2120.1,8.7
P0001,fmcg,bevande,82,12.06,12.06,0.0001,0,1.017,0.9628,2385.2,8.7
P0001,fmcg,bevande,83,12.38,12.06,0.0265,0,1.0189,0.9546,1810.9,8.7
